Wavelength (A)	Intensity [J/eV/sr/cm^2]
 5.94624E+00	 1.90955E-04
 5.94647E+00	 1.78338E-04
 5.94670E+00	 1.66854E-04
 5.94693E+00	 1.71570E-04
 5.94716E+00	 1.76367E-04
 5.94739E+00	 1.74167E-04
 5.94762E+00	 1.56873E-04
 5.94785E+00	 1.39721E-04
 5.94808E+00	 1.44937E-04
 5.94831E+00	 1.61074E-04
 5.94854E+00	 1.77326E-04
 5.94877E+00	 1.63062E-04
 5.94900E+00	 1.46962E-04
 5.94923E+00	 1.36047E-04
 5.94946E+00	 1.42075E-04
 5.94969E+00	 1.58732E-04
 5.94992E+00	 1.92371E-04
 5.95015E+00	 2.33527E-04
 5.95038E+00	 2.82515E-04
 5.95061E+00	 2.83618E-04
 5.95084E+00	 2.58445E-04
 5.95107E+00	 2.12777E-04
 5.95130E+00	 1.67208E-04
 5.95153E+00	 1.47294E-04
 5.95176E+00	 1.50718E-04
 5.95199E+00	 1.62197E-04
 5.95222E+00	 1.72514E-04
 5.95245E+00	 1.94732E-04
 5.95268E+00	 2.25219E-04
 5.95291E+00	 2.49067E-04
 5.95314E+00	 2.59751E-04
 5.95337E+00	 2.71444E-04
 5.95360E+00	 2.75144E-04
 5.95383E+00	 2.63019E-04
 5.95406E+00	 2.45775E-04
 5.95429E+00	 2.58341E-04
 5.95451E+00	 2.81130E-04
 5.95474E+00	 2.84464E-04
 5.95497E+00	 2.61940E-04
 5.95520E+00	 2.42107E-04
 5.95543E+00	 2.58535E-04
 5.95566E+00	 2.97208E-04
 5.95589E+00	 3.36793E-04
 5.95612E+00	 3.60153E-04
 5.95635E+00	 3.55921E-04
 5.95658E+00	 3.21122E-04
 5.95681E+00	 2.49220E-04
 5.95704E+00	 1.79199E-04
 5.95727E+00	 1.65855E-04
 5.95750E+00	 1.74966E-04
 5.95773E+00	 1.81488E-04
 5.95796E+00	 1.73213E-04
 5.95819E+00	 1.69735E-04
 5.95842E+00	 1.62537E-04
 5.95865E+00	 1.49545E-04
 5.95888E+00	 1.36450E-04
 5.95911E+00	 1.16158E-04
 5.95934E+00	 9.13886E-05
 5.95957E+00	 7.27832E-05
 5.95980E+00	 9.45234E-05
 5.96003E+00	 1.16067E-04
 5.96026E+00	 1.21842E-04
 5.96049E+00	 1.13489E-04
 5.96072E+00	 1.05316E-04
 5.96095E+00	 1.22189E-04
 5.96118E+00	 1.46530E-04
 5.96141E+00	 1.72322E-04
 5.96164E+00	 2.12445E-04
 5.96187E+00	 2.52534E-04
 5.96210E+00	 2.81857E-04
 5.96233E+00	 2.98558E-04
 5.96256E+00	 3.15187E-04
 5.96279E+00	 3.12129E-04
 5.96302E+00	 3.05134E-04
 5.96325E+00	 2.96677E-04
 5.96348E+00	 2.76822E-04
 5.96371E+00	 2.57023E-04
 5.96394E+00	 2.49715E-04
 5.96417E+00	 2.53031E-04
 5.96440E+00	 2.56265E-04
 5.96463E+00	 2.62950E-04
 5.96486E+00	 2.70530E-04
 5.96509E+00	 2.80971E-04
 5.96532E+00	 3.05122E-04
 5.96555E+00	 3.29155E-04
 5.96578E+00	 3.30199E-04
 5.96600E+00	 3.15447E-04
 5.96623E+00	 2.97932E-04
 5.96646E+00	 2.70996E-04
 5.96669E+00	 2.43435E-04
 5.96692E+00	 2.21500E-04
 5.96715E+00	 2.00673E-04
 5.96738E+00	 1.79147E-04
 5.96761E+00	 1.68149E-04
 5.96784E+00	 1.69679E-04
 5.96807E+00	 1.75886E-04
 5.96830E+00	 1.59985E-04
 5.96853E+00	 1.40701E-04
 5.96876E+00	 1.39243E-04
 5.96899E+00	 1.59848E-04
 5.96922E+00	 1.78044E-04
 5.96945E+00	 1.85528E-04
 5.96968E+00	 1.87292E-04
 5.96991E+00	 1.71412E-04
 5.97014E+00	 1.35542E-04
 5.97037E+00	 1.02368E-04
 5.97060E+00	 9.61058E-05
 5.97083E+00	 1.28955E-04
 5.97106E+00	 1.62790E-04
 5.97129E+00	 1.69835E-04
 5.97152E+00	 1.56469E-04
 5.97175E+00	 1.33080E-04
 5.97198E+00	 1.13045E-04
 5.97221E+00	 9.64700E-05
 5.97244E+00	 8.46940E-05
 5.97267E+00	 7.66469E-05
 5.97290E+00	 6.40406E-05
 5.97313E+00	 6.58013E-05
 5.97336E+00	 7.88784E-05
 5.97359E+00	 9.50798E-05
 5.97382E+00	 1.03095E-04
 5.97405E+00	 1.14453E-04
 5.97428E+00	 1.14563E-04
 5.97451E+00	 8.14569E-05
 5.97474E+00	 4.32495E-05
 5.97497E+00	 3.29981E-05
 5.97520E+00	 6.88924E-05
 5.97543E+00	 1.28461E-04
 5.97566E+00	 1.92716E-04
 5.97589E+00	 1.58061E-04
 5.97612E+00	 1.11621E-04
 5.97635E+00	 7.15649E-05
 5.97657E+00	 7.30784E-05
 5.97680E+00	 8.37494E-05
 5.97703E+00	 9.72737E-05
 5.97726E+00	 1.10255E-04
 5.97749E+00	 1.26877E-04
 5.97772E+00	 1.30990E-04
 5.97795E+00	 1.31744E-04
 5.97818E+00	 1.20003E-04
 5.97841E+00	 1.04998E-04
 5.97864E+00	 8.65427E-05
 5.97887E+00	 7.20840E-05
 5.97910E+00	 5.77197E-05
 5.97933E+00	 5.94673E-05
 5.97956E+00	 6.57021E-05
 5.97979E+00	 7.96097E-05
 5.98002E+00	 1.06310E-04
 5.98025E+00	 1.32633E-04
 5.98048E+00	 1.50195E-04
 5.98071E+00	 1.59626E-04
 5.98094E+00	 1.68601E-04
 5.98117E+00	 1.64271E-04
 5.98140E+00	 1.61952E-04
 5.98163E+00	 1.50634E-04
 5.98186E+00	 1.20495E-04
 5.98209E+00	 9.04856E-05
 5.98232E+00	 7.87570E-05
 5.98255E+00	 7.56461E-05
 5.98278E+00	 7.28836E-05
 5.98301E+00	 7.90316E-05
 5.98324E+00	 8.52273E-05
 5.98347E+00	 8.95344E-05
 5.98370E+00	 9.07705E-05
 5.98393E+00	 9.20191E-05
 5.98416E+00	 9.68980E-05
 5.98439E+00	 1.03031E-04
 5.98462E+00	 1.10068E-04
 5.98485E+00	 1.23191E-04
 5.98508E+00	 1.36253E-04
 5.98531E+00	 1.42146E-04
 5.98554E+00	 1.40881E-04
 5.98577E+00	 1.39465E-04
 5.98600E+00	 1.19392E-04
 5.98623E+00	 9.35740E-05
 5.98646E+00	 6.98567E-05
 5.98669E+00	 6.23818E-05
 5.98692E+00	 5.50338E-05
 5.98715E+00	 6.38057E-05
 5.98738E+00	 9.45704E-05
 5.98760E+00	 1.25186E-04
 5.98783E+00	 1.26002E-04
 5.98806E+00	 1.17004E-04
 5.98829E+00	 1.11467E-04
 5.98852E+00	 1.26805E-04
 5.98875E+00	 1.42321E-04
 5.98898E+00	 1.46914E-04
 5.98921E+00	 1.33297E-04
 5.98944E+00	 1.16512E-04
 5.98967E+00	 1.02553E-04
 5.98990E+00	 9.03764E-05
 5.99013E+00	 8.59717E-05
 5.99036E+00	 9.08619E-05
 5.99059E+00	 9.24297E-05
 5.99082E+00	 9.03203E-05
 5.99105E+00	 9.21324E-05
 5.99128E+00	 9.77615E-05
 5.99151E+00	 1.12303E-04
 5.99174E+00	 1.29133E-04
 5.99197E+00	 1.44419E-04
 5.99220E+00	 1.39232E-04
 5.99243E+00	 1.31501E-04
 5.99266E+00	 1.20692E-04
 5.99289E+00	 1.08588E-04
 5.99312E+00	 9.65855E-05
 5.99335E+00	 9.79008E-05
 5.99358E+00	 1.03348E-04
 5.99381E+00	 1.09496E-04
 5.99404E+00	 1.10910E-04
 5.99427E+00	 1.12255E-04
 5.99450E+00	 1.04545E-04
 5.99473E+00	 8.77329E-05
 5.99496E+00	 7.18552E-05
 5.99519E+00	 7.01896E-05
 5.99542E+00	 7.01179E-05
 5.99565E+00	 7.68955E-05
 5.99588E+00	 1.19687E-04
 5.99611E+00	 1.63284E-04
 5.99634E+00	 1.78307E-04
 5.99657E+00	 1.66581E-04
 5.99680E+00	 1.55622E-04
 5.99703E+00	 1.63999E-04
 5.99726E+00	 1.74639E-04
 5.99749E+00	 1.78581E-04
 5.99772E+00	 1.55145E-04
